time_stamp_ms;frame_id;morton
0;33;2097664
33;34;6292992
66;35;6292992
99;36;6292992
132;37;6292992
165;38;6292992
198;39;6292992
231;40;6292992
264;41;6292992
297;42;6292992
330;43;6292992
363;44;6292992
396;45;6292992
429;46;6292992
462;47;4195328
495;48;4195328
528;49;4195328
561;50;4195328
594;51;4195328
627;52;4195328
660;53;4195328
693;54;4195328
726;55;4195328
759;56;4195328
792;57;4195328
825;58;4195328
858;59;4195328
891;60;4195328
924;61;4195328
957;62;4195328
990;63;12585984
1023;64;12585984
1056;65;12585984
1089;66;12585984
1122;67;12585984
1155;68;12585984
1188;69;12585984
1221;70;8390656
1254;71;8390656
1287;72;8390656
1320;73;8390656
1353;74;12585984
1386;75;12585984
1419;76;12585984
1452;77;12585984
1485;78;12585984
1518;79;4195328
1551;80;4195328
1584;81;4195328
1617;82;12585984
1650;83;12585984
1683;84;12585984
1716;85;12585984
1749;86;12585984
1782;87;12585984
1815;88;12585984
1848;89;12585984
1881;90;12585984
1914;91;12585984
1947;92;12585984
1980;93;12585984
2013;94;12585984
2046;95;12585984
2079;96;12585984
2112;97;12585984
2145;98;12585984
2178;99;12585984
2211;100;12585984
2244;101;12585984
2277;102;12585984
2310;103;12585984
2343;104;12585984
2376;105;12585984
2409;106;12585984
2442;107;12585984
2475;108;12585984
2508;109;12585984
2541;110;12585984
2574;111;12585984
2607;112;12585984
2640;113;12585984
2673;114;12585984
2706;115;12585984
2739;116;12585984
2772;117;12585984
2805;118;12585984
2838;119;12585984
2871;120;12585984
2904;121;12585984
2937;122;12585984
2970;123;14683648
3003;124;14683648
3036;125;14683648
3069;126;14683648
3102;127;6292992
3135;128;6292992
3168;129;6292992
3201;130;6292992
3234;131;6292992
3267;132;6292992
3300;133;6292992
3333;134;6292992
3366;135;6292992
3399;136;6292992
3432;137;6292992
3465;138;6292992
3498;139;6292992
3531;140;2097664
3564;141;7341824
3597;142;7341824
3630;143;7341824
3663;144;7341824
3696;145;7341824
3729;146;7341824
3762;147;7341824
3795;148;7341824
3828;149;5768576
3861;150;5768576
3894;151;5768576
3927;152;7866240
3960;153;7866240
3993;154;3670912
4026;155;3933120
4059;156;3933120
4092;157;3933120
4125;158;3933120
4158;159;3933120
4191;160;3933120
4224;161;2884288
4257;162;2884288
4290;163;2884288
4323;164;2884288
4356;165;786624
4389;166;786624
4422;167;262208
4455;168;262208
4488;169;262208
4521;170;262208
4554;171;1311040
4587;172;1048832
4620;173;1048832
4653;174;1048832
4686;175;1048832
4719;176;1048832
4752;177;1048832
4785;178;1048832
4818;179;1048832
4851;180;1048832
