time_stamp_ms;frame_id;morton
0;533;0
33;534;0
66;535;262208
99;536;262208
132;537;262208
165;538;262208
198;539;262208
231;540;262208
264;541;262208
297;542;262208
330;543;262208
363;544;262208
396;545;262208
429;546;262208
462;547;262208
495;548;262208
528;549;262208
561;550;262208
594;551;262208
627;552;262208
660;553;262208
693;554;262208
726;555;262208
759;556;262208
792;557;262208
825;558;262208
858;559;262208
891;560;262208
924;561;786624
957;562;786624
990;563;786624
1023;564;786624
1056;565;786624
1089;566;786624
1122;567;786624
1155;568;786624
1188;569;786624
1221;570;786624
1254;571;786624
1287;572;524416
1320;573;524416
1353;574;524416
1386;575;524416
1419;576;524416
1452;577;1573248
1485;578;1573248
1518;579;1573248
1551;580;1573248
1584;581;1573248
1617;582;1573248
1650;583;1573248
1683;584;1573248
1716;585;1573248
1749;586;1573248
1782;587;1573248
1815;588;1573248
1848;589;1573248
1881;590;1573248
1914;591;1573248
1947;592;1573248
1980;593;1573248
2013;594;1573248
2046;595;1573248
2079;596;1048832
2112;597;1048832
2145;598;1048832
2178;599;1048832
2211;600;1048832
2244;601;1048832
2277;602;1048832
2310;603;1048832
2343;604;1048832
2376;605;1048832
2409;606;1048832
2442;607;1048832
2475;608;3146496
2508;609;3146496
2541;610;3146496
2574;611;3146496
2607;612;3146496
2640;613;2097664
2673;614;2097664
2706;615;2097664
2739;616;2097664
2772;617;2097664
2805;618;2097664
2838;619;2097664
2871;620;2097664
2904;621;2097664
2937;622;2097664
2970;623;2097664
3003;624;2097664
3036;625;2097664
3069;626;2097664
3102;627;2097664
3135;628;2097664
3168;629;2097664
3201;630;6292992
3234;631;6292992
3267;632;6292992
3300;633;6292992
3333;634;6292992
3366;635;6292992
3399;636;6292992
3432;637;6292992
3465;638;6292992
3498;639;6292992
3531;640;6292992
3564;641;6292992
3597;642;6292992
3630;643;4195328
3663;644;4195328
3696;645;4195328
3729;646;4195328
3762;647;4195328
3795;648;4195328
3828;649;12585984
3861;650;12585984
3894;651;12585984
3927;652;12585984
3960;653;12585984
3993;654;12585984
4026;655;12585984
4059;656;12585984
4092;657;12585984
4125;658;12585984
4158;659;12585984
4191;660;12585984
4224;661;12585984
4257;662;12585984
4290;663;12585984
4323;664;12585984
4356;665;12585984
4389;666;12585984
4422;667;12585984
4455;668;8390656
4488;669;8390656
4521;670;8390656
4554;671;8390656
4587;672;8390656
4620;673;8390656
4653;674;8390656
4686;675;8390656
4719;676;8390656
4752;677;8390656
4785;678;8390656
4818;679;8390656
4851;680;8390656
4884;681;8390656
4917;682;8390656
4950;683;8390656
4983;684;8390656
5016;685;8390656
5049;686;8390656
5082;687;8390656
5115;688;0
5148;689;0
5181;690;0
5214;691;0
5247;692;0
5280;693;0
5313;694;0
5346;695;0
5379;696;0
5412;697;0
5445;698;0
5478;699;0
5511;700;0
5544;701;0
5577;702;0
5610;703;0
5643;704;0
5676;705;0
5709;706;0
5742;707;0
5775;708;0
5808;709;0
5841;710;0
5874;711;0
5907;712;0
5940;713;0
5973;714;0
6006;715;0
6039;716;0
6072;717;0
6105;718;0
6138;719;0
6171;720;0
